Item 1,Item 2,Result,Result Description
Mega Potion,X-Potion,Megalixir,Full HP and MP recovery for all party members.
MP Sphere,Ability Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Ability Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Accuracy Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Agility Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Agility Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Al Bhed Potion,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Amulet,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
MP Sphere,Antarctic Wind,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Antidote,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Arctic Wind,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Attribute Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Black Magic Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Blessed Gem,Tallboy,Deals very large amounts of damage to all enemies.
MP Sphere,Bomb Core,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Bomb Fragment,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Candle of Life,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Chocobo Feather,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
MP Sphere,Chocobo Wing,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
MP Sphere,Clear Sphere,Potato Masher,Deals large amounts of damage to all enemies.
MP Sphere,Dark Matter,Sunburst,"Deals exactly 19,998 damage to all enemies."
MP Sphere,Defense Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
MP Sphere,Door to Tomorrow,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
MP Sphere,Dragon Scale,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Dream Powder,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Echo Screen,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Electro Marble,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Elixir,Hot Spurs,Overdrive Gauges fill up at 1.5x rate for all party members.
MP Sphere,Ether,Mega Mana,Doubles max MP of all party members.
MP Sphere,Evasion Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Eye Drops,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Farplane Shadow,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Farplane Wind,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Fire Gem,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Fish Scale,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Fortune Sphere,Miracle Drink,High critical hit rate for all party members.
MP Sphere,Frag Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Friend Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Gambler's Spirit,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
MP Sphere,Gold Hourglass,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Healing Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Healing Water,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Hi-Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
MP Sphere,Holy Water,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,HP Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Hypello Potion,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Ice Gem,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Lv. 1 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Lv. 2 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Lv. 3 Key Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Lv. 4 Key Sphere,Tallboy,Deals very large amounts of damage to all enemies.
MP Sphere,Light Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
MP Sphere,Lightning Gem,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Lightning Marble,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,Luck Sphere,Miracle Drink,High critical hit rate for all party members.
MP Sphere,Lunar Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
MP Sphere,Magic Defense Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Magic Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Mana Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Mana Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Mana Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Mana Tablet,Hyper Mana,Doubles max MP and casts Focus on all party members.
MP Sphere,Mana Tonic,Hyper Mana,Doubles max MP and casts Focus on all party members.
MP Sphere,Map,Potato Masher,Deals large amounts of damage to all enemies.
MP Sphere,Master Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Megalixir,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
MP Sphere,Mega Phoenix,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
MP Sphere,Mega Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
MP Sphere,MP Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Musk,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Pendulum,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
MP Sphere,Petrify Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Phoenix Down,Final Phoenix,Restores full HP and revives all KO'd party members with full HP.
MP Sphere,Poison Fang,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Potion,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Power Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Power Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Purifying Salt,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Remedy,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Rename Card,Potato Masher,Deals large amounts of damage to all enemies.
MP Sphere,Return Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Shadow Gem,Nega Burst,Reduces enemies' HP by three-quarters of their current HP.
MP Sphere,Shining Gem,Tallboy,Deals very large amounts of damage to all enemies.
MP Sphere,Shining Thorn,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Silence Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Silver Hourglass,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Skill Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Sleeping Powder,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Smoke Bomb,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
MP Sphere,Soft,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Soul Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Special Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Speed Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Stamina Spring,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Stamina Tablet,Mega Vitality,Doubles max HP of all party members.
MP Sphere,Stamina Tonic,Hyper Vitality,Doubles max HP and bestows Cheer x5 on all party members.
MP Sphere,Star Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
MP Sphere,Strength Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Supreme Gem,Tallboy,Deals very large amounts of damage to all enemies.
MP Sphere,Teleport Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Tetra Elemental,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
MP Sphere,Three Stars,Freedom X,No MP Cost for all party members.
MP Sphere,Turbo Ether,Mega Mana,Doubles max MP of all party members.
MP Sphere,Twin Stars,Freedom X,No MP Cost for all party members.
MP Sphere,Underdog's Secret,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
MP Sphere,Warp Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Water Gem,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
MP Sphere,White Magic Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
MP Sphere,Wings to Discovery,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
MP Sphere,Winning Formula,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
MP Sphere,X-Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Musk,Ability Distiller,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Musk,Ability Sphere,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Accuracy Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Agility Distiller,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Musk,Agility Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Al Bhed Potion,Mighty G,"Bestows Protect, Shell, and Haste on all party members."
Musk,Amulet,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Antarctic Wind,Black Ice,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Antidote,Megalixir,Full HP and MP recovery for all party members.
Musk,Arctic Wind,Black Ice,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Attribute Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Black Magic Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Blessed Gem,Tallboy,Deals very large amounts of damage to all enemies.
Musk,Bomb Core,Brimstone,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Bomb Fragment,Brimstone,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Candle of Life,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Chocobo Feather,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Musk,Chocobo Wing,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Musk,Clear Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Dark Matter,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Musk,Defense Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
Musk,Door to Tomorrow,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Dragon Scale,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Dream Powder,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Echo Screen,Megalixir,Full HP and MP recovery for all party members.
Musk,Electro Marble,Electroshock,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Elixir,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Musk,Ether,Freedom X,No MP Cost for all party members.
Musk,Evasion Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Eye Drops,Megalixir,Full HP and MP recovery for all party members.
Musk,Farplane Shadow,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Farplane Wind,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Fire Gem,Abaddon Flame,"Deals large amounts of damage in three bursts plus Poison, Darkness, Silence, Sleep and Full Break for three rounds on all enemies."
Musk,Fish Scale,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Fortune Sphere,Hero Drink,High critical hit rate for one party member.
Musk,Frag Grenade,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Friend Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Gambler's Spirit,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Gold Hourglass,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Grenade,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Healing Spring,Ultra NulAll,Bestows all four Nul-Spells and all stat boosts x5 on all party members.
Musk,Healing Water,Mighty G,"Bestows Protect, Shell, and Haste on all party members."
Musk,Hi-Potion,Megalixir,Full HP and MP recovery for all party members.
Musk,Holy Water,Megalixir,Full HP and MP recovery for all party members.
Musk,HP Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Hypello Potion,Hyper NulAll,"Bestows all four Nul-Spells, plus Cheer x5 and Focus x5 on all party members."
Musk,Ice Gem,Krysta,"Deals large amounts of damage in three bursts plus Poison, Darkness, Silence, Sleep and Full Break for three rounds on all enemies."
Musk,Lv. 1 Key Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Lv. 2 Key Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Lv. 3 Key Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Lv. 4 Key Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Light Curtain,Mega NulAll,Bestows all four Nul-Spells on all party members.
Musk,Lightning Gem,Thunderblast,"Deals large amounts of damage in three bursts plus Poison, Darkness, Silence, Sleep and Full Break for three rounds on all enemies."
Musk,Lightning Marble,Electroshock,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Luck Sphere,Miracle Drink,High critical hit rate for all party members.
Musk,Lunar Curtain,Mega NulAll,Bestows all four Nul-Spells on all party members.
Musk,Magic Defense Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Magic Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Mana Distiller,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Musk,Mana Sphere,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Mana Spring,Hyper NulAll,"Bestows all four Nul-Spells, plus Cheer x5 and Focus x5 on all party members."
Musk,Mana Tablet,Hyper Mana,Doubles max MP and casts Focus on all party members.
Musk,Mana Tonic,Hyper Mana,Doubles max MP and casts Focus on all party members.
Musk,Map,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Master Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Megalixir,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Musk,Mega Phoenix,Final Phoenix,Restores full HP and revives all KO'd party members with full HP.
Musk,Mega Potion,Megalixir,Full HP and MP recovery for all party members.
Musk,MP Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Musk,Hyper NulAll,"Bestows all four Nul-Spells, plus Cheer x5 and Focus x5 on all party members."
Musk,Pendulum,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Petrify Grenade,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Phoenix Down,Mega Phoenix,Revives all KO'd party members with full HP.
Musk,Poison Fang,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Potion,Panacea,Cures abnormal status effects for all party members.
Musk,Power Distiller,Ultra Cure,Cures abnormal status effects and gives 50% HP recovery for all party members.
Musk,Power Sphere,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Purifying Salt,Hyper NulAll,"Bestows all four Nul-Spells, plus Cheer x5 and Focus x5 on all party members."
Musk,Remedy,Megalixir,Full HP and MP recovery for all party members.
Musk,Rename Card,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Return Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Shadow Gem,Nega Burst,Reduces enemies' HP by three-quarters of their current HP.
Musk,Shining Gem,Tallboy,Deals very large amounts of damage to all enemies.
Musk,Shining Thorn,Hyper NulAll,"Bestows all four Nul-Spells, plus Cheer x5 and Focus x5 on all party members."
Musk,Silence Grenade,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Silver Hourglass,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Skill Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Sleeping Powder,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Smoke Bomb,Hazardous Shell,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for four rounds on all enemies."
Musk,Soft,Megalixir,Full HP and MP recovery for all party members.
Musk,Soul Spring,Hyper NulAll,"Bestows all four Nul-Spells, plus Cheer x5 and Focus x5 on all party members."
Musk,Special Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Speed Sphere,Blaster Mine,"Deals small amounts of damage plus Darkness, Silence and Sleep for three rounds on all enemies."
Musk,Stamina Spring,Hyper NulAll,"Bestows all four Nul-Spells, plus Cheer x5 and Focus x5 on all party members."
Musk,Stamina Tablet,Mega Vitality,Doubles max HP of all party members.
Musk,Stamina Tonic,Hyper Vitality,Doubles max HP and bestows Cheer x5 on all party members.
Musk,Star Curtain,Mega NulAll,Bestows all four Nul-Spells on all party members.
Musk,Strength Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Supreme Gem,Tallboy,Deals very large amounts of damage to all enemies.
Musk,Teleport Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Tetra Elemental,Mighty G,"Bestows Protect, Shell, and Haste on all party members."
Musk,Three Stars,Freedom X,No MP Cost for all party members.
Musk,Turbo Ether,Freedom X,No MP Cost for all party members.
Musk,Twin Stars,Freedom X,No MP Cost for all party members.
Musk,Underdog's Secret,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Warp Sphere,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Water Gem,Dark Rain,"Deals large amounts of damage in three bursts plus Poison, Darkness, Silence, Sleep and Full Break for three rounds on all enemies."
Musk,White Magic Sphere,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
Musk,Wings to Discovery,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,Winning Formula,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Musk,X-Potion,Megalixir,Full HP and MP recovery for all party members.
Pendulum,Ability Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Pendulum,Ability Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Pendulum,Accuracy Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Agility Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Pendulum,Agility Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Al Bhed Potion,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Pendulum,Amulet,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Pendulum,Antarctic Wind,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
Pendulum,Antidote,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Pendulum,Arctic Wind,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Attribute Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Pendulum,Black Magic Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Pendulum,Blessed Gem,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Pendulum,Bomb Core,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Bomb Fragment,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
Pendulum,Candle of Life,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Pendulum,Chocobo Feather,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Pendulum,Chocobo Wing,Hyper Mighty G,"Bestows Protect, Shell, Haste, Regen, and Auto-Life on all party members."
Pendulum,Clear Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Pendulum,Dark Matter,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Pendulum,Defense Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
Pendulum,Door to Tomorrow,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Pendulum,Dragon Scale,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Dream Powder,Cluster Bomb,Deals large amounts of damage to all enemies.
Pendulum,Echo Screen,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Pendulum,Electro Marble,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
Pendulum,Elixir,Hot Spurs,Overdrive Gauges fill up at 1.5x rate for all party members.
Pendulum,Ether,Freedom X,No MP Cost for all party members.
Pendulum,Evasion Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Eye Drops,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Pendulum,Farplane Shadow,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Pendulum,Farplane Wind,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Pendulum,Fire Gem,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Pendulum,Fish Scale,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Pendulum,Fortune Sphere,Miracle Drink,High critical hit rate for all party members.
Pendulum,Frag Grenade,Cluster Bomb,Deals large amounts of damage to all enemies.
Pendulum,Friend Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Pendulum,Gambler's Spirit,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Pendulum,Gold Hourglass,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Pendulum,Grenade,Calamity Bomb,"Deals medium amounts of damage plus Poison, Darkness, Silence and Sleep for five rounds on all enemies."
